system:time_start,SAVI
"Jan 16, 2017",0.745
"Feb 1, 2017",0.576
"Feb 24, 2017",0.701
"Mar 5, 2017",0.694
"Apr 6, 2017",0.823
"Apr 6, 2017",0.859
"Apr 22, 2017",0.531
"May 24, 2017",0.621
"Jul 27, 2017",0.765
"Aug 3, 2017",0.8
"Nov 16, 2017",0.815
"Dec 9, 2017",0.859
"Dec 18, 2017",0.838
"Dec 18, 2017",0.846
"Jan 3, 2018",0.485
"Jan 10, 2018",0.891
"Jan 26, 2018",0.781
"Feb 4, 2018",1.001
"Feb 11, 2018",0.634
"Feb 20, 2018",0.794
"Feb 20, 2018",0.825
"Apr 9, 2018",0.43
"Jun 12, 2018",1.045
"Jul 14, 2018",1.037
"Dec 5, 2018",0.887
"Dec 28, 2018",0.704
"Jan 13, 2019",0.518
"Jan 22, 2019",0.295
"Feb 7, 2019",0.173
"Mar 2, 2019",0.412
"Mar 11, 2019",0.693
"Jul 17, 2019",1.076
"Jul 17, 2019",1.083
"Sep 3, 2019",1.019
"Sep 3, 2019",0.929
"Nov 22, 2019",0.965
